image,prediction,score_a_noamd,score_b_amd
2343066_21015_0_0.png,a_noamd,0.88510835,0.11489164
2357888_21015_0_0.png,a_noamd,0.7225096,0.27749038
2359730_21015_0_0.png,a_noamd,0.87062943,0.12937057
2368772_21015_0_0.png,a_noamd,0.8684038,0.13159622
2372532_21016_1_0.png,a_noamd,0.86765265,0.13234739
2408221_21015_0_0.png,a_noamd,0.7517581,0.24824186
2413269_21016_0_0.png,a_noamd,0.86565787,0.13434215
2427764_21015_0_0.png,a_noamd,0.87805647,0.12194359
2438151_21015_0_0.png,a_noamd,0.86859995,0.1314001
2449350_21016_0_0.png,a_noamd,0.8538159,0.14618412
2456355_21015_1_0.png,a_noamd,0.87194383,0.1280562
2461672_21015_0_0.png,a_noamd,0.90351886,0.09648117
2472799_21016_0_0.png,a_noamd,0.873068,0.12693202
2477187_21015_1_0.png,a_noamd,0.8686,0.13140002
2483720_21016_0_0.png,a_noamd,0.71222246,0.28777757
2489830_21016_1_0.png,a_noamd,0.9227052,0.077294774
2499510_21015_0_0.png,a_noamd,0.8733078,0.12669215
2507657_21016_0_0.png,a_noamd,0.8455215,0.15447856
2526740_21016_0_0.png,b_amd,0.3500284,0.6499716
2528591_21016_0_0.png,a_noamd,0.8721471,0.12785292
2537297_21015_0_0.png,a_noamd,0.9362705,0.06372955
2551919_21015_1_0.png,a_noamd,0.94367856,0.056321386
2563517_21015_0_0.png,a_noamd,0.89124316,0.10875678
2576580_21016_1_0.png,a_noamd,0.8279,0.17210002
2585277_21015_0_0.png,a_noamd,0.8622153,0.1377847
2585605_21016_0_0.png,a_noamd,0.82297945,0.17702055
2588926_21015_0_0.png,a_noamd,0.8672308,0.13276924
2600105_21016_0_1.png,a_noamd,0.84495145,0.15504855
2633176_21016_0_0.png,a_noamd,0.8541046,0.1458954
2679483_21016_1_0.png,a_noamd,0.94103414,0.058965854
2685632_21015_0_0.png,a_noamd,0.8697522,0.13024774
2719722_21016_0_0.png,a_noamd,0.8392831,0.16071688
2721922_21015_0_0.png,a_noamd,0.8607887,0.13921128
2745458_21015_0_0.png,a_noamd,0.8581534,0.14184666
2757636_21015_0_0.png,b_amd,0.43037394,0.5696261
2782516_21015_1_0.png,a_noamd,0.83404624,0.16595374
2805725_21016_0_0.png,a_noamd,0.88166916,0.118330784
2815362_21016_0_0.png,b_amd,0.46064547,0.5393545
2822071_21015_0_0.png,a_noamd,0.843625,0.156375
2836894_21015_0_0.png,a_noamd,0.8614687,0.13853131
2846579_21016_1_0.png,b_amd,0.41826248,0.5817375
2853144_21016_0_0.png,a_noamd,0.88716,0.112839974
2868164_21015_0_0.png,a_noamd,0.7180943,0.28190568
2871034_21015_0_0.png,a_noamd,0.6290943,0.37090567
2873232_21015_0_0.png,a_noamd,0.92341447,0.07658551
2881320_21016_1_0.png,a_noamd,0.94042575,0.05957423
2884620_21016_0_0.png,a_noamd,0.8806645,0.11933549
2888262_21016_0_0.png,a_noamd,0.8443755,0.15562454
2890162_21016_0_0.png,a_noamd,0.61937785,0.38062218
2917663_21015_0_0.png,a_noamd,0.8354104,0.16458958
2949081_21016_1_0.png,a_noamd,0.77491677,0.22508326
2968059_21016_1_0.png,a_noamd,0.9516856,0.048314407
2972541_21016_0_0.png,a_noamd,0.8766509,0.12334911
2973762_21015_0_0.png,a_noamd,0.8517951,0.14820492
2974159_21016_0_0.png,a_noamd,0.8641688,0.1358311
2975492_21016_1_0.png,a_noamd,0.8633855,0.13661444
3004980_21015_0_0.png,a_noamd,0.8804089,0.11959113
3036382_21016_0_0.png,a_noamd,0.8226179,0.17738213
3036937_21016_0_0.png,a_noamd,0.86556333,0.13443662
3042285_21015_0_0.png,a_noamd,0.7665822,0.23341781
3059488_21016_0_0.png,b_amd,0.3881679,0.61183214
3067577_21015_0_0.png,a_noamd,0.8556902,0.14430983
3081358_21016_0_0.png,a_noamd,0.81442034,0.18557967
3083279_21016_0_0.png,a_noamd,0.88005257,0.119947486
3092906_21015_0_0.png,a_noamd,0.85072637,0.14927356
3097730_21015_0_0.png,a_noamd,0.8204102,0.17958978
3112861_21016_1_0.png,a_noamd,0.91913056,0.08086938
3115038_21016_1_0.png,a_noamd,0.94430435,0.055695657
3126241_21016_1_0.png,a_noamd,0.92315835,0.07684169
3132958_21015_0_0.png,a_noamd,0.8804628,0.1195372
3135604_21015_0_0.png,a_noamd,0.8541152,0.14588481
3143757_21016_0_0.png,a_noamd,0.84602845,0.15397152
3152013_21015_0_0.png,a_noamd,0.87245524,0.1275448
3210309_21016_1_0.png,a_noamd,0.84232646,0.15767352
3213158_21016_0_0.png,a_noamd,0.9298763,0.07012367
3214719_21015_1_0.png,a_noamd,0.750755,0.24924496
3220661_21015_0_0.png,a_noamd,0.9661866,0.03381341
3232160_21016_0_0.png,a_noamd,0.90028006,0.09971998
3238640_21015_0_0.png,a_noamd,0.82954097,0.17045903
3246947_21015_0_0.png,a_noamd,0.8121135,0.18788648
3266867_21015_0_0.png,a_noamd,0.86325556,0.13674444
3273293_21016_1_0.png,a_noamd,0.8511035,0.14889647
3291607_21015_0_0.png,a_noamd,0.82740146,0.17259857
3295572_21015_0_0.png,a_noamd,0.8697953,0.1302047
3302184_21016_1_0.png,a_noamd,0.9113121,0.08868788
3303788_21015_0_0.png,a_noamd,0.8933807,0.10661929
3304628_21016_1_0.png,a_noamd,0.861241,0.13875897
3346001_21016_0_0.png,a_noamd,0.88594526,0.11405479
3381767_21016_0_0.png,b_amd,0.21152808,0.78847194
